instruction,input,output
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",City of Moscow Select the date.,г. Москва Выберите дату.
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Statement of Accession to the standard form of the Master Agreement on Futures Transactions in Financial Markets (hereinafter referred to as the “Statement of Accession”),Заявление о присоединении к стандартной форме генерального соглашения о срочных сделках на финансовых рынках (далее «Заявление о присоединении»)
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","1. Hereby, Specify the full name of the organization (hereinafter referred to as “Party B”), established and operating in accordance with the legislation of the Russian Federation, which is not a credit institution or an insurance organization, OGRN (Primary State Registration Number) Specify the OGRN (Primary State Registration Number) of the organization, located at Russian Federation, Specify the legal address of the company, represented by Specify the position and full name of the signatory, acting on the basis of the Charter or Power of Attorney No. ______ dated _________ ______________, on accession to the master agreement on futures transactions in financial markets on the terms and conditions and in the form further provided in this document (Appendix No. 1), hereinafter referred to as the “Master Agreement”. By signing this Application, Party B confirms its acceptance of Party A’s offer to conclude the Master Agreement on the specified terms and conditions.","1. Настоящим Укажите полное наименование организации (далее - ""Сторона Б""), созданное и действующее в соответствии с законодательством Российской Федерации, не являющиеся кредитной организацией или страховой организацией, ОГРН Укажите ОГРН организации, с местонахождением по адресу: Российская Федерация, Укажите юридический адрес компании, в лице Укажите должность и ФИО подписанта, действующего на основании Устава или Доверенности №______ от _________ уведомляет____________, о присоединении к генеральному соглашению о срочных сделках на финансовых рынках на условиях и по форме, представленной далее в настоящем документе (Приложение № 1), далее – «Генеральное соглашение». Подписанием настоящего Заявления Сторона Б подтверждает акцепт оферты Стороны А на заключение Генерального соглашения на указанных условиях."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","2. In pursuance of clause 3.6 of the Master Agreement, “Controlling Shareholder” means: [insert information about the shareholder or the group of shareholders directly or indirectly controlling your organization on the effective date of the Master Agreement].","2. Для целей пункта 3.6 Генерального соглашения «Контролирующий акционер» означает: Укажите информацию об акционере или группе акционеров, прямо или косвенно контролирующих вашу организацию на дату заключения Генерального соглашения."
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.","3. Party B requests that the following details of Party B be used to effect payment and delivery under Transactions, and to send Confirmations, notifications, or other messages:","3. Сторона Б просит использовать следующие реквизиты Стороны Б для осуществления платежа и поставки по Сделкам, направления Подтверждений, уведомлений или иных сообщений:"
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Postal address:,Почтовый адрес:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Specify the correspondence address,Укажите адрес для корреспонденции
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",For attention of:,Вниманию:
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Specify the full name of the responsible employee,Укажите ФИО ответственного сотрудника
"Ты профессиональный переводчик банковских и юридических документов. Переведи текст с английского на русский, сохраняя официальный стиль и юридическую терминологию.",Specify the telephone number of the responsible employee,Укажите телефон ответственного сотрудника
